name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00C,2,20.0,20.0,35.0,35.0,20.0,0.065739380726863,0.022204726347367996,0.5142857480693069,2.8948636773088103,3.02269024254741,-0.127826565238599,-0.0441563332465562
00D,2,17.0,17.0,31.0,31.0,17.0,0.0335824030059242,0.00968652750394222,0.5537864453575,3.4333362623524097,3.49397769423911,-0.0606414318866997,-0.0176625379085794
00J,1,49.0,49.0,49.0,49.0,49.0,-0.0356334629388727,-0.0142501440471615,0.583333333333333,2.53620207620637,2.1086005209399,0.42760155526647203,0.16859916616189902
00K,0,,,,,,,,,,,,
00L,2,17.0,17.0,35.0,35.0,35.0,-0.0278191438962796,-0.00999674795251167,0.8856868772661031,2.74612613261212,2.68330676696418,0.0628193656479374,0.0228756301110552
00M,1,22.0,22.0,22.0,22.0,22.0,-0.0219790243761861,-0.00567735556323414,0.512820512820513,3.89332795283146,3.0361460021602005,0.857181950671258,0.22016690118485
00N,2,20.0,20.0,24.0,24.0,24.0,-0.0335950129841551,-0.011322960724316001,0.51556469237677,2.8354218135683,2.11864436877841,0.7167774447898879,0.252793937522772
00P,1,4.0,4.0,4.0,4.0,4.0,0.00919386197412712,0.00384836235782294,0.508771929824561,2.37983843781383,2.90388857033907,-0.524050132525246,-0.220204079486442
00Q,2,11.0,11.0,11.0,11.0,11.0,0.0783973897221149,0.029162821853762996,0.605438623593711,2.60986748791005,3.12782182162448,-0.517954333714425,-0.19846001228560298
00R,2,32.0,32.0,34.0,34.0,32.0,0.45704101517028495,0.11641300043334801,2.96768709741844,3.46898969848666,3.6229954949764105,-0.154005796489751,-0.0443949996614102
00T,2,14.0,14.0,15.0,15.0,15.0,-0.0164307347612224,-0.0048959344041099,0.503719098597869,2.9916080210261202,2.60018189149579,0.3914261295303279,0.130841382553878
00V,2,26.0,26.0,33.0,33.0,33.0,-0.0246258070219069,-0.00926876526672778,0.5770610386530269,2.58274171279252,2.41204360377176,0.170698109020761,0.0660918233423343
00X,1,35.0,35.0,,,35.0,-0.0143458685198113,-0.00766866473727184,0.538461538461538,1.88505856900942,1.51206598749433,0.3729925815150929,0.197867900577273
00Y,0,,,,,,,,,,,,
01A,3,26.0,26.0,27.0,27.0,27.0,-0.7302233185800641,-0.266868264753884,2.70912834830898,2.1377630505998604,1.86822125534462,0.26954179525523897,0.12608590796796001
01C,2,23.0,23.0,24.0,24.0,24.0,-0.0286784079495233,-0.0114157466600111,0.5169908515732999,2.22768374730173,1.45107868732535,0.7766050599763871,0.34861548948186405
01D,1,33.0,33.0,33.0,33.0,33.0,-0.0574436280787523,-0.0137943618930457,0.535714285714286,4.22172672606764,2.61330513986258,1.6084215862050601,0.380986665070868
01E,1,44.0,44.0,44.0,44.0,44.0,-0.016270145971096,-0.00927677839125727,0.529411764705882,1.77012749653899,1.4935350150303601,0.276592481508632,0.156255683304979
01F,0,,,,,,,,,,,,
01G,1,10.0,10.0,10.0,10.0,10.0,-0.0219948974744384,-0.006452190236176989,0.509803921568627,3.4308989547532405,2.3091591835568797,1.1217397711963601,0.326952144609878
01H,2,17.0,17.0,17.0,17.0,17.0,0.0494502681056041,0.0226542501305011,0.515257716177733,2.13337493337946,2.22934684520726,-0.0959719118278022,-0.0449859564421589
01J,0,,,,,,,,,,,,
01K,1,44.0,44.0,44.0,44.0,44.0,-0.0322802219213619,-0.0142905547073308,0.529411764705882,2.2911303913135,1.74236661865035,0.548763772663152,0.239516604879283
01R,1,35.0,35.0,35.0,35.0,35.0,-0.0209266464587902,-0.007633596859206209,0.538461538461538,2.7623140742677905,2.21822126633925,0.544092807928545,0.196969929305656
01T,0,,,,,,,,,,,,
01V,1,18.0,18.0,18.0,18.0,18.0,-0.00857170109692024,-0.00338728979777382,0.511627906976744,2.53912019522154,2.17053704805397,0.36858314716757,0.14516175636790302
01W,1,35.0,35.0,35.0,35.0,35.0,-0.0133123839057143,-0.00647089470174114,0.538461538461538,2.0705833671798404,1.72446138563127,0.346121981548573,0.16716157728051
01X,1,4.0,4.0,4.0,4.0,4.0,0.0071784521007022,0.0034247422007905,0.508771929824561,2.08887774128088,2.4980495110209002,-0.409171769740025,-0.195881147878537
01Y,1,5.0,5.0,5.0,5.0,5.0,0.00683487807780202,0.00251201543888479,0.5178571428571429,2.7140393538243504,3.09679252618127,-0.3827531723569129,-0.141027126897617
02A,0,,,,,,,,,,,,
02D,1,39.0,39.0,39.0,39.0,39.0,-0.0369489832696339,-0.0158325268065138,0.545454545454546,2.3706878564880602,1.5578102245561103,0.812877631931946,0.34288682489652805
02E,0,,,,,,,,,,,,
02F,0,,,,,,,,,,,,
02G,1,3.0,3.0,3.0,3.0,3.0,-0.0155777270911785,-0.005010859493619521,0.517241379310345,3.1243711608352407,2.22086298954689,0.9035081712883509,0.289180806241604
02H,2,2.0,2.0,21.0,21.0,21.0,-0.0139840667251023,-0.00599215013301942,0.557171528081745,2.31353764117388,2.13784943360748,0.17568820756640502,0.0759392042903012
02M,0,,,,,,,,,,,,
02N,1,27.0,27.0,27.0,27.0,27.0,-0.0117966652392486,-0.00503248013660206,0.529411764705882,2.35590233859294,1.9548157204584802,0.4010866181344529,0.170247557194583
02P,0,,,,,,,,,,,,
02Q,2,17.0,17.0,18.0,18.0,18.0,-0.0234975285488231,-0.007558777676547029,0.5154313312130779,2.59971654459607,2.09824758377691,0.501468960819154,0.192893706762585
02R,1,35.0,35.0,35.0,35.0,35.0,-0.020950932241584997,-0.00823506530924477,0.538461538461538,2.56506338974271,2.0203391514615,0.544724238281209,0.21236287588816602
02T,0,,,,,,,,,,,,
02W,1,43.0,43.0,43.0,43.0,43.0,-0.0141462077907592,-0.0170160586600033,0.555555555555556,0.8454907672691659,0.590859027035501,0.25463174023366497,0.301164424368696
02X,1,39.0,39.0,39.0,39.0,39.0,-0.0307943935170201,-0.0108355468938321,0.545454545454545,2.87277309738373,2.19529644000929,0.6774766573744411,0.23582672017898898
02Y,2,6.0,6.0,6.0,6.0,6.0,0.0482265446351154,0.017038776621766,0.7494866791239241,2.78217294387681,2.9752112432024997,-0.193038299325696,-0.0693840042368854
03A,0,,,,,,,,,,,,
03D,1,18.0,18.0,18.0,18.0,18.0,-0.0176425326848051,-0.0065431598913399105,0.511627906976744,2.71397472963381,1.95534582418719,0.758628905446621,0.27952688621716903
03E,0,,,,,,,,,,,,
03F,1,5.0,5.0,5.0,5.0,5.0,0.015204286575816002,0.0054271343455316295,0.5178571428571429,2.7863269834827995,3.6377670317285,-0.851440048245695,-0.305577935860718
03H,2,13.0,13.0,13.0,13.0,13.0,0.0543919991565415,0.0305816134508495,0.55746467786182,1.7241930072872702,2.1144742309527,-0.39028122366543,-0.226355878962455
03J,1,12.0,12.0,12.0,12.0,12.0,-0.0102786814549446,-0.00340510748016483,0.510204081632653,3.0288857341894597,2.5252303428971805,0.503655391292285,0.166284051460616
03K,0,,,,,,,,,,,,
03L,0,,,,,,,,,,,,
03M,2,17.0,17.0,17.0,17.0,17.0,0.0739410848518627,0.0225585723054497,0.890517102037915,3.2037967015061897,3.36985995774832,-0.166063256242134,-0.0518332689973941
03N,1,19.0,19.0,19.0,19.0,19.0,-0.00940577186606122,-0.00680635663799481,0.523809523809524,1.3913157078743799,0.996273289499812,0.39504241837457105,0.283934419872329
03Q,1,49.0,49.0,49.0,49.0,49.0,-0.0241516335792752,-0.0135187511368001,0.583333333333333,1.8106800883808898,1.52086048542959,0.289819602951302,0.160061186297386
03R,0,,,,,,,,,,,,
03T,0,,,,,,,,,,,,
03V,2,33.0,33.0,33.0,33.0,33.0,-0.315562844769755,-0.211348373042846,1.26511878032407,1.80865616849163,1.55922279537475,0.24943337311688699,0.13791088514347502
